2013-09	міністр оборони Павло Валентинович Лебедєв
2013-09	Міністр оборони Павло Валентинович Лебедєв
2013-09	міністром закордонних справ Румунії Тітусом Корлецяном
2013-09	міністром України Бойком Юрієм
2013-09	міністром України Бойко Юрієм
2013-09	міністр освіти і науки Табачник Дмитро Володимирович
2013-09	Міністр освіти і науки Табачник Дмитро Володимирович
2013-09	міністр охорони здоров'я Богатирьова Раїса Василівна
2013-09	Міністр соціальної політики Королевська Наталія Юріївна
2013-09	міністр України Азаров Микола
2013-09	міністр України Арбузов Сергій
2013-09	міністр України Бойко Юрій
2013-09	міністр України Вілкул Олександр
2013-09	міністр України Грищенко Костянтин
2013-09	міністр України Микола Янович
2013-09	міністр України Сергій Геннадійович
2013-09	міністру юстиції Олені Леонідівні Лукаш
2013-09	міністр фінансів Колобов Юрій Володимирович
2013-09	Міністр юстиції Лукаш Олена Леонідівна
2013-10	міністра аграрної політики Іван Юрійович Бісюк
2013-10	міністра внутрішніх справ Віктор Борисович Дубовик
2013-10	міністра доходів і зборів Ігнатов Андрій Петрович
2013-10	міністра енергетики Сергій Михайлович Чех
2013-10	міністра закордонних справ Майко Віктор Анатолійович
2013-10	міністра закордонних справ Майку Віктору Анатолійовичу
2013-10	міністра Кабінету Міністрів Владислав
2013-10	міністра культура Віктор Степанович Малюрка
2013-10	міністра Миколи Яновича Азарова
2013-10	міністра оборони Павла Валентиновича Лебедєва
2013-10	міністра освіти і науки Дмитра Володимировича Табачника
2013-10	міністра освіти і науки України Євгена Суліми
2013-10	міністра присутній Григорій Михайлович Семчук
2013-10	міністративного суду Бегунца Армена Олегі
2013-10	міністративного суду Бездрабка Олега Івановича
2013-10	міністративного суду Василенко Галину Юріївну
2013-10	міністративного суду Епель Оксану Володимирівну
2013-10	міністративного суду Ільчиш Надію Василівну
2013-10	міністративного суду Кругового Олексія Олександровича
2013-10	міністративного суду Шинкар Тетяну Ігорівну
2013-10	міністра України, глави Адміністрації Президента України
2013-10	міністра України Олександра Вілкула
2013-10	міністра фінансів Анатолій Іванович Мярковський
2013-10	міністра фінансів Анатолія Івановича Мярковського
2013-10	міністра фінансів Сергій Олександрович Рибак
2013-10	міністрації Президента і Кабінету Міністрів України
2013-10	міністра юстиції Інна Іванівна Ємельянова
2013-10	Міністр внутрішніх справ Захарченко Віталій Юрійович
2013-10	Міністр доходів і зборів Клименко Олександр Вікторович
2013-10	міністрів Автономної Республіки Крим
2013-10	Міністрів Автономної Республіки Крим
2013-10	Міністрів Криму Могильов Анатолій
2013-10	Міністрів України і Урядом Республіки Таджикистан
2013-10	Міністрів України і Урядом Республіки Таджикистанпро
2013-10	Міністрів України і Урядом Російської Федерації
2013-10	Міністрів України та Адміністрації Президента України
2013-10	Міністрів України та Верховної Ради України
2013-10	Міністрів України та Урядом Турецької Республіки
2013-10	Міністрів України, Урядом Російської Федерації
2013-10	міністр інфраструктури Володимир Васильович Козак
2013-10	міністр інфраструктури Козак Володимир Васильович
2013-10	міністр Микола Яновича Азаров
2013-10	Міністр молоді і спорту Равіль Сафович Сафіулін
2013-10	Міністр освіти Дмитро Володимирович Табачник
2013-10	Міністр охорони здоров'я Богатирьова Раїса Василівна
2013-10	Міністр соціальної політики Наталія Юріївна Королевська
2013-10	Міністр Темник Геннадій Павлович
2013-10	міністру інфраструктури Володимиру Васильовичу Козаку
2013-10	міністр України Грищенко Костянтин
2013-10	міністру Кузьмуку Олександру Івановичу
2013-10	Міністр фінансів Колобов Юрій Володимирович
2013-11	Міністерства фінансів і до Голови Верховної Ради
2013-11	міністра внутрішніх справ України Віталія Захарченка
2013-11	міністр аграрної політики Микола Володимирович Присяжнюк
2013-11	міністра закордонних справ Демченко Руслан Михайлович
2013-11	міністра інфраструктури Єфименко Костянтин Олексійович
2013-11	міністра оборони Павла Валентиновича Лебедєва
2013-11	міністра оборони України, Уповноваженого Верховної Ради
2013-11	міністра освіти і науки України Дмитра Табачника
2013-11	міністра охорони здоров'я Богачев Роман Михайлович
2013-11	міністр Арбузов Сергій Геннадійович
2013-11	міністра соціальної політики України Наталії Королевської
2013-11	міністративного суду Бегунца Армена Олегі
2013-11	міністративного суду Епель Оксану Володимирівну
2013-11	міністративного суду Кругового Олексія Олександровича
2013-11	міністративного суду України Харченка Василя
2013-11	міністративного суду Шинкар Тетяну Ігорівну
2013-11	міністра України, глави Адміністрації Президента України
2013-11	міністра України Миколи Яновича
2013-11	міністра України Миколу Яновича
2013-11	міністра України Олександра Вілкула
2013-11	міністра фінансів України, Глави Адміністрації Президента
2013-11	міністрації Київської області, Уповноваженого Верховної Ради
2013-11	міністрації Президента Віктора Януковича
2013-11	міністра юстиції Ємельянова Інна Іванівна
2013-11	міністр внутрішніх справ Захарченко Віталій Юрійович
2013-11	міністр доходів і зборів Клименко Олександр Вікторович
2013-11	міністри, Кабінет Міністрів України
2013-11	міністрів Автономної Республіки Крим
2013-11	Міністрів України, Комітетом Верховної Ради
2013-11	Міністрів України та Урядом Італійської Республіки
2013-11	міністр культури Леонід Михайлович Новохатько
2013-11	міністр молоді та спорту Сафіуллін Равіль Сафович
2013-11	міністр оборони Лебедєв Павло Валентинович
2013-11	міністр освіти і науки Табачник Дмитро Володимирович
2013-11	міністр охорони здоров'я Богатирьова Раїса Василівна
