checkIDs	PersonID	OrgID	EventID	From	To	Role	Acting	RoleName_en	RoleName_uk
 	НаталіяЮріївнаКоролевська.1975	GOV.UA	GOV.UA.2ndAzarov	2012-12-24	2014-02-24	minister		Minister of Social Policy	Міністр соціальної політики України
 	НаталіяЮріївнаКоролевська.1975	pp.But		2005	2011	member			
 	НаталіяЮріївнаКоролевська.1975	pp.UV		2012		head			
 	НаталіяЮріївнаКоролевська.1975	pp.OP		2019		nominated			
 	ЮрійВолодимировичКолобов.1973	GOV.UA	GOV.UA.2ndAzarov	2012-12-24	2014-02-27	minister		Minister of Finance	Міністр фінансів України
 ERR:org	ЮрійВолодимировичКолобов.1973	pp.independent				?			
 	ОлександрВолодимировичЛавринович.1956	GOV.UA	GOV.UA.2ndAzarov	2012-12-24	2013-07-04	minister		Minister of Justice	Міністр юстиції Украіни
 	ОлександрВолодимировичЛавринович.1956	pp.Reg		2012-10-28		member			
 	ВікторФедоровичЯнукович.1950	Ukraine	4thPresidency	2010-02-25	2014-02-22	head		President of Ukraine	Президент України
 	ВікторФедоровичЯнукович.1950	pp.Reg		2003-04-19	2010-04-23	head			
 	ВікторФедоровичЯнукович.1950	pp.Reg		2010-04-23	2014-03-29	head		Honorary Head 	почесний голова Партії регіонів
 	ОлександрВалентиновичТурчинов.1964	Ukraine	ActingPresidency	2014-02-23	2014-06-07	head	1	President of Ukraine	Президент України
 	ОлександрВалентиновичТурчинов.1964	pp.BUT		2012-10-28	2014-08-21	member			
 	ОлександрВалентиновичТурчинов.1964	pp.NF		2014-10-26	2014-12-16	member			
 	ПетроОлексійовичПорошенко.1965	Ukraine	5thPresidency	2014-06-07	2019-05-20	head		President of Ukraine	Президент України
 ERR:org	ПетроОлексійовичПорошенко.1965	pp.independent		2012-10-28	2019-05-20				
 	ПетроОлексійовичПорошенко.1965	pp.ES		2019-05-24	present	head			
 	ВолодимирОлександровичЗеленський.1978	Ukraine	6thPresidency	2019-05-20	present	head		President of Ukraine	Президент України
 ERR:org	ВолодимирОлександровичЗеленський.1978	pp.independent		2019-05-20					
 	АрсенійПетровичЯценюк.1974	GOV.UA	GOV.UA.1stYatseniuk	2014-02-27	2014-11-27	head		Prime Minister of Ukraine	Прем'єр-міністр України
 	АрсенійПетровичЯценюк.1974	GOV.UA	GOV.UA.2stYatseniuk	2014-11-27	2016-04-14	head		Prime Minister of Ukraine	Прем'єр-міністр України
 	АрсенійПетровичЯценюк.1974	pp.BUT		2012-10-28	2014-08-21	member			
 	АрсенійПетровичЯценюк.1974	pp.NF		2014-10-26		head			
