who	role	lang	cnt
ГРИНЧУК О.А.	#regular	uk	16
ГРИНЮК В.В.	#regular	uk	4
ГРИНЮК В.О.	#regular	uk	1
ГРИЦАК В.С.	#regular	ru	1
ГРИЦАК В.С.	#regular	uk	38
ГРИЦЕНКО А.С.	#regular	uk	52
ГРИЦЕНКО А.С.	#regular	un	1
ГРИЦЕНКО О.В.	#regular	uk	13
ГРИШИНА Ю.М.	#regular	uk	163
ГРИЩЕНКО К.І.	#regular	uk	1
ГРИЩЕНКО Т.М.	#regular	uk	3
ГРИЩУК Р.П.	#regular	uk	68
ГРОЙСАН В.Б.	#chair	uk	36
ГРОЙСМАН Б.В.	#regular	uk	1
ГРОЙСМАН В.Б.	#chair	be	539
ГРОЙСМАН В.Б.	#chair	bg	7
ГРОЙСМАН В.Б.	#chair	mk	21
ГРОЙСМАН В.Б.	#chair	ru	575
ГРОЙСМАН В.Б.	#chair	sr	5
ГРОЙСМАН В.Б.	#chair	uk	29749
ГРОЙСМАН В.Б.	#chair	un	6
ГРОЙСМАН В.Б.	#regular	be	2
ГРОЙСМАН В.Б.	#regular	bg	1
ГРОЙСМАН В.Б.	#regular	ru	15
ГРОЙСМАН В.Б.	#regular	uk	3449
ГРОЙСМАН В.Ю.	#regular	uk	6
ГРОЙСМНА В.Б.	#regular	uk	2
ГРУБА Г.І.	#regular	uk	9
ГРУШЕВСЬКИЙ В.А.	#regular	uk	40
ГУБАР В.І.	#regular	uk	23
ГУДЗЕНКО В.І.	#regular	uk	23
ГУЗЕНКО К.О.	#regular	uk	51
ГУЗЕНКО М.В.	#regular	uk	2
ГУЗИР В.П.	#regular	ru	6
ГУЗИР В.П.	#regular	uk	62
ГУЗЬ І.В.	#regular	ru	1
ГУЗЬ І.В.	#regular	uk	583
ГУЛАК О.М.	#regular	uk	3
ГУЛЯЄВ В.О.	#regular	ru	25
ГУЛЯЄВ В.О.	#regular	uk	75
ГУНЬКО А.Г.	#regular	uk	4
ГУРІН Д.О.	#regular	uk	39
ГУСЄВ Ю.В.	#regular	uk	29
ГУСАК В.Г.	#regular	ru	1
ГУСАК В.Г.	#regular	uk	386
ГУТЦАЙТ В.М.	#regular	uk	20
ДЄЄВА А.Є.	#regular	uk	8
ДІДЕНКО І.А.	#regular	sr	1
ДІДЕНКО І.А.	#regular	uk	48
ДІДЕНКО І.М.	#regular	uk	32
ДІДЕНКО О.М.	#regular	uk	3
ДІДЕНКО Ю.О.	#regular	uk	23
ДІДИЧ В.В.	#regular	uk	18
ДАВИДЕНКО В.М.	#regular	uk	26
ДАВИДОВА Л.	#regular	uk	4
ДАВИМУКА С.А.	#regular	uk	9
ДАНІЛІН В.Ю.	#regular	uk	10
ДАНІЛОВ В.Б.	#regular	uk	2
ДАНІЛОВ О.М.	#regular	uk	40
ДАНІШЕВСЬКА В.І.	#regular	uk	9
ДАНИЛЮК О.О.	#regular	ru	1
ДАНИЛЮК О.О.	#regular	uk	285
ДАНУЦА О.А.	#regular	uk	85
ДАНЧЕНКО О.І.	#regular	ru	6
ДАНЧЕНКО О.І.	#regular	uk	469
ДАНЧЕНКО О.І.	#regular	un	1
ДАЦЕНКО Л.М.	#regular	uk	2
ДЕЙДЕЙ Є.С.	#regular	ru	3
ДЕЙДЕЙ Є.С.	#regular	uk	2
ДЕЙЧ Б.Д.	#regular	ru	8
ДЕЙЧ Б.Д.	#regular	uk	3
ДЕМЕДЮК В.Х.	#regular	uk	15
ДЕМИДОВИЧ Д.В.	#regular	uk	5
ДЕМЧАК Р.Є.	#regular	be	2
ДЕМЧАК Р.Є.	#regular	ru	4
ДЕМЧАК Р.Є.	#regular	uk	550
ДЕМЧЕНКО Р.М.	#regular	uk	26
ДЕМЧЕНКО С.О.	#regular	uk	82
ДЕМЧИШИН В.В.	#regular	uk	325
ДЕНІСОВА Л.Л.	#regular	ru	24
ДЕНІСОВА Л.Л.	#regular	uk	572
ДЕНИСЕНКО А.П.	#regular	ru	1
ДЕНИСЕНКО А.П.	#regular	uk	12
ДЕНИСЕНКО А.С.	#regular	uk	48
ДЕНИСЕНКО В.І.	#regular	uk	70
ДЕНИСЕНКО Н.М.	#regular	uk	4
ДЕНИСОВА Л.Л.	#regular	ru	1
ДЕПУТАТ НЕ НАЗВАВСЯ	#regular	uk	1
ДЕРЕВЛЯНИЙ В.Т.	#regular	uk	1
ДЕРЕВ’ЯНКО Ю.Б.	#regular	ru	3
ДЕРЕВ’ЯНКО Ю.Б.	#regular	uk	866
ДЕРКАЧ А.Л.	#regular	ru	36
ДЕРКАЧ А.Л.	#regular	uk	30
ДЕХТЯРЧУК О.В.	#regular	be	1
ДЕХТЯРЧУК О.В.	#regular	uk	161
ДЖАПАРОВА Е.А.	#regular	uk	5
ДЖЕМІЛЄВ М.	#regular	ru	6
ДЖЕМІЛЄВ М.	#regular	uk	73
ДЖЕМІЛЄВ М.А.	#regular	uk	1
ДЖИГА М.В.	#regular	uk	5
ДЖИГИР Ю.А.	#regular	uk	24
ДЖО БАЙДЕН	#regular	uk	68
ДЗАРДАНОВ М.С.	#regular	ru	38
ДЗАРДАНОВ М.С.	#regular	uk	6
ДЗОЗ В.О.	#regular	ru	37
ДЗОЗ В.О.	#regular	uk	10
ДЗЮБЛИК П.В.	#regular	uk	202
ДИРІВ А.Б.	#regular	uk	7
ДИРДІН М.Є.	#regular	ru	1
ДИРДІН М.Є.	#regular	uk	122
ДМИТРІЄВА О.О.	#regular	ru	1
ДМИТРІЄВА О.О.	#regular	uk	66
ДМИТРЕНКО О.М.	#regular	uk	9
ДМИТРУК А.Г.	#regular	uk	87
ДМИТРУК Н.Ю.	#regular	ru	1
ДМИТРУК Н.Ю.	#regular	uk	2
ДОБКІН М.М.	#regular	ru	11
ДОБКІН М.М.	#regular	uk	2
ДОБРОДОМОВ Д.Є.	#regular	uk	81
ДОВБЕНКО М.В.	#regular	ru	1
ДОВБЕНКО М.В.	#regular	uk	295
ДОВБЕНКО М.В.	#regular	un	1
ДОВГАНЬ В.М.	#regular	uk	53
ДОВГИЙ О.С.	#regular	uk	146
ДОЛГОВ І.О.	#regular	uk	7
ДОЛЖЕНКО О.В.	#regular	uk	2
ДОЛЖЕНКОВ О.В.	#regular	ru	292
ДОЛЖЕНКОВ О.В.	#regular	uk	1577
ДОМБРОВСЬКИЙ О.Г.	#regular	mk	1
ДОМБРОВСЬКИЙ О.Г.	#regular	ru	39
ДОМБРОВСЬКИЙ О.Г.	#regular	uk	572
ДОНІЙ О.С.	#regular	uk	227
ДОНЕЦЬ Т.А.	#regular	uk	32
ДОНЕЦЬ Т.А.	#regular	un	1
ДОРОХОВ А.М.	#regular	ru	2
ДОРОХОВ А.М.	#regular	uk	3
ДРАБОВСЬКИЙ А.Г.	#regular	uk	20
ДРАГАНЧУК Ю.О.	#regular	uk	8
ДРАП’ЯТИЙ Б.Є.	#regular	uk	38
ДРАЮК С.Є.	#regular	uk	61
ДРОЗДИК О.В.	#regular	uk	92
ДРОЗДОВА Л.М.	#regular	uk	4
ДУБІЛЬ В.О.	#regular	uk	192
ДУБІНІН О.І.	#regular	ru	10
ДУБІНІН О.І.	#regular	uk	9
ДУБІНСЬКИЙ О.А.	#regular	uk	148
ДУБІНСЬКИЙ О.А.	#regular	un	1
ДУБЛЯН О.В.	#regular	uk	20
ДУБНЕВИЧ Б.В.	#regular	uk	21
ДУБНЕВИЧ Я.В.	#regular	ru	2
ДУБНЕВИЧ Я.В.	#regular	uk	389
ДУБНОВ А.В.	#regular	uk	27
ДУБОВИК В.Б.	#regular	uk	12
ДУБОВИК С.О.	#regular	uk	1
ДУДКА В.В.	#regular	uk	22
ДУНАЄВ С.В.	#regular	ru	59
ДУНАЄВ С.В.	#regular	uk	52
ДУНДА О.А.	#regular	uk	22
ЖВАНІЯ Д.В.	#regular	ru	11
ЖВАНІЯ Д.В.	#regular	uk	227
ЖВАНІЯ Д.В.	#regular	un	6
ЖДАНОВ І.О.	#regular	uk	226
ЖЕЛЕЗНЯК Я.І.	#regular	ru	6
ЖЕЛЕЗНЯК Я.І.	#regular	uk	1468
ЖЕЛЕЗНЯК Я.І.	#regular	un	1
ЖЕЛТОВА О.М.	#regular	uk	1
ЖЕРАР ЛАРШЕ	#regular	uk	42
ЖЕРЕБНЮК В.М.	#regular	uk	3
ЖИВИЦЬКИЙ Д.О.	#regular	uk	24
ЖМЕРЕНЕЦЬКИЙ О.С.	#regular	uk	60
ЖОЛНОВИЧ О.І.	#regular	uk	19
ЖОЛОБЕЦЬКИЙ О.О.	#regular	ru	12
ЖОЛОБЕЦЬКИЙ О.О.	#regular	uk	34
ЖУК М.В.	#regular	uk	50
ЖУПАНИН А.В.	#regular	ru	1
ЖУПАНИН А.В.	#regular	uk	204
ЖУРАВЛЬОВ Д.В.	#regular	uk	16
ЖУРАВСЬКИЙ В.С.	#regular	be	1
ЖУРАВСЬКИЙ В.С.	#regular	ru	2
ЖУРАВСЬКИЙ В.С.	#regular	uk	463
ЖУРЖІЙ А.В.	#regular	ru	1
ЖУРЖІЙ А.В.	#regular	uk	205
ЗІНГЯРІАС Е.	#regular	uk	6
ЗІНКЕВИЧ Я.В.	#regular	ru	4
ЗІНКЕВИЧ Я.В.	#regular	uk	229
ЗАЄЦЬ І.О.	#regular	uk	4
ЗАІЧКО О.В.	#regular	uk	15
ЗАБЗАЛЮК Р.О.	#regular	uk	22
ЗАБЛОЦЬКИЙ М.Б.	#regular	uk	99
ЗАБОЛОТНИЙ Г.М.	#regular	bg	1
ЗАБОЛОТНИЙ Г.М.	#regular	ru	2
ЗАБОЛОТНИЙ Г.М.	#regular	uk	278
ЗАБРОДСЬКИЙ М.В.	#regular	be	1
ЗАБРОДСЬКИЙ М.В.	#regular	ru	2
ЗАБРОДСЬКИЙ М.В.	#regular	sr	1
ЗАБРОДСЬКИЙ М.В.	#regular	uk	242
ЗАБУРАННА Л.В.	#regular	uk	175
ЗАВІТНЕВИЧ О.М.	#regular	ru	3
ЗАВІТНЕВИЧ О.М.	#regular	uk	114
ЗАГОРІЙ Г.В.	#regular	uk	7
ЗАГОРОДНІЙ Ю.І.	#regular	uk	488
ЗАГОРОДНЮК А.П.	#regular	uk	68
ЗАГОРУЙКО А.Л.	#regular	ru	1
ЗАГОРУЙКО А.Л.	#regular	uk	181
ЗАГОРУЙКО А.Л.	#regular	un	1
ЗАДОРОЖНІЙ М.М.	#regular	uk	87
ЗАДОРОЖНИЙ В.К.	#regular	uk	2
ЗАЙЧУК В.О.	#regular	uk	4
ЗАКОПЕЦЬ Ю.М.	#regular	uk	8
ЗАЛІЩУК С.В.	#regular	uk	4
ЗАЛІЩУК С.П.	#regular	uk	263
ЗАМАНА В.М.	#regular	uk	2
ЗАМЛИНСЬКИЙ Р.Т.	#regular	uk	15
ЗАРЕМСЬКИЙ М.В.	#regular	uk	43
ЗАРУБІНСЬКИЙ О.О.	#regular	uk	477
ЗАРУЖКО В.Л.	#regular	be	1
ЗАРУЖКО В.Л.	#regular	uk	283
ЗАСЛАВСЬКИЙ Ю.І.	#regular	uk	6
ЗАСТАВНИЙ Р.Й.	#regular	uk	13
ЗАСУХА С.О.	#regular	uk	19
ЗАХАРОВ Б.Є.	#regular	uk	9
ЗАХАРЧЕНКО В.Ю.	#regular	ru	1
ЗАХАРЧЕНКО В.Ю.	#regular	uk	103
ЗАЦ О.В.	#regular	ru	8
ЗАЦ О.В.	#regular	uk	3
ЗАЯЦЬ А.І.	#regular	uk	8
ЗВЄРЄВ В.П.	#regular	uk	9
ЗВАРИЧ М.П.	#regular	uk	4
ЗВАРИЧ Р.М.	#regular	uk	2
ЗВЯГІЛЬСЬКИЙ Ю.Л.	#regular	ru	13
ЗВЯГІЛЬСЬКИЙ Ю.Л.	#regular	uk	4
ЗГУЛАДЗЕ Е.	#regular	ru	3
ЗГУЛАДЗЕ Е.И.	#regular	ru	1
ЗГУЛАДЗЕ-ГЛУКСМАНН Е.	#regular	ru	30
ЗГУЛАДЗЕ-ГЛУКСМАНН Е.	#regular	uk	3
ЗГУЛАДЗЕ-ГЛУКСМАНН Е.Я.	#regular	ru	1
ЗДЕБСЬКИЙ Ю.В.	#regular	uk	38
ЗЕЛЕНСЬКИЙ В.О.	#regular	ru	6
ЗЕЛЕНСЬКИЙ В.О.	#regular	uk	480
ЗЕЛЕНСЬКИЙ О.В.	#regular	uk	1
ЗЕЛИК Р.Б.	#regular	ru	1
ЗЕЛИК Р.Б.	#regular	uk	112
ЗЕРКАЛЬ О.В.	#regular	uk	14
ЗУЄВ М.С.	#regular	uk	4
ЗУБ В.О.	#regular	uk	16
ЗУБАЧ Л.Л.	#regular	mk	1
ЗУБАЧ Л.Л.	#regular	uk	128
ЗУБИК В.В.	#regular	uk	13
ЗУБКО Г.Г.	#regular	ru	2
ЗУБКО Г.Г.	#regular	uk	1171
ЗУБЧЕВСЬКИЙ О.П.	#regular	ru	70
ЗУБЧЕВСЬКИЙ О.П.	#regular	uk	16
ЗУЗАНА ЧАПУТОВА	#regular	uk	22
ЗЮКОВ Ю.Є.	#regular	ru	1
ЗЮКОВ Ю.Є.	#regular	uk	1
ЙОНАС ЛЕСІС	#regular	uk	9
КІВАЛОВ С.В.	#regular	ru	13
КІВАЛОВ С.В.	#regular	uk	5
КІЛІНКАРОВ С.П.	#regular	ru	50
КІЛІНКАРОВ С.П.	#regular	uk	89
КІНАХ А.К.	#regular	ru	1
КІНАХ А.К.	#regular	uk	245
КІНЗБУРСЬКА В.О.	#regular	uk	39
КІРАЛЬ С.І.	#regular	ru	2
КІРАЛЬ С.І.	#regular	sr	1
КІРАЛЬ С.І.	#regular	uk	210
КІРШ О.В.	#regular	ru	4
КІРШ О.В.	#regular	uk	100
КІСЄЛЬ Ю.Г.	#regular	uk	17
КІСІЛЬОВ І.П.	#regular	uk	1
КІССЕ А.І.	#regular	mk	1
КІССЕ А.І.	#regular	ru	132
КІССЕ А.І.	#regular	uk	55
КІСТІОН В.Є.	#regular	uk	59
КІТ А.Б.	#regular	be	1
КІТ А.Б.	#regular	uk	144
КАБАНОВ О.Є.	#regular	uk	1
КАБАЧЕНКО В.В.	#regular	ru	3
КАБАЧЕНКО В.В.	#regular	uk	533
КАЙДА О.П.	#regular	ru	2
КАЙДА О.П.	#regular	uk	380
КАЙДА П.О.	#regular	uk	2
КАЛЄТНІК І.Г.	#chair	be	1
КАЛЄТНІК І.Г.	#chair	ru	17
КАЛЄТНІК І.Г.	#chair	uk	2952
КАЛЄТНІК І.Г.	#regular	uk	25
КАЛАУР І.Р.	#regular	uk	6
КАЛЕТНІК Г.М.	#regular	ru	4
КАЛЕТНІК Г.М.	#regular	sr	1
КАЛЕТНІК Г.М.	#regular	uk	217
КАЛЕТНИК Г.М.	#regular	uk	3
КАЛЕТНИК О.М.	#regular	uk	34
КАЛЬЦЕВ В.Ф.	#regular	ru	1
КАЛЬЦЕВ В.Ф.	#regular	uk	120
КАЛЬЦЕВ С.Ф.	#regular	ru	13
КАЛЬЦЕВ С.Ф.	#regular	uk	62
КАЛЬЧЕНКО В.М.	#regular	uk	8
КАЛЬЧЕНКО С.В.	#regular	ru	1
КАЛЬЧЕНКО С.В.	#regular	uk	703
КАЛЮЖНИЙ В.А.	#regular	ru	2
КАМЕЛЬЧУК Ю.О.	#regular	uk	145
КАНІВЕЦЬ О.Л.	#regular	ru	1
КАНІВЕЦЬ О.Л.	#regular	uk	38
КАПІНУС Є.В.	#regular	ru	1
КАПІНУС Є.В.	#regular	uk	27
КАПЛІН С.В.	#regular	uk	1
КАПЛІН С.М.	#regular	be	1
КАПЛІН С.М.	#regular	bg	1
КАПЛІН С.М.	#regular	uk	1968
КАПЛІНА О.В.	#regular	uk	2
КАПТЄЛОВ Р.В.	#regular	uk	10
КАРАНДЄЄВ Р.В.	#regular	uk	23
КАРАНДІЙ В.А.	#regular	uk	1
КАРМАЗІН Ю.А.	#regular	uk	28
КАРМАЗА О.О.	#regular	uk	1
КАРПУНЦОВ В.В.	#regular	ru	1
КАРПУНЦОВ В.В.	#regular	uk	229
КАРТАШОВ Є.Г.	#regular	ru	11
КАРТАШОВ Є.Г.	#regular	uk	16
КАСАЙ Г.О.	#regular	uk	7
КАСАЙ К.І.	#regular	uk	10
КАСМІНІН О.В.	#regular	uk	1
КАТЕРИНЧУК М.Д.	#regular	uk	197
КАЦЕР-БУЧКОВСЬКА Н.В.	#regular	uk	148
КАЦУБА В.М.	#regular	uk	1
КАЧНИЙ О.С.	#regular	mk	1
КАЧНИЙ О.С.	#regular	ru	2
КАЧНИЙ О.С.	#regular	uk	211
КАЧУР О.Ю.	#regular	uk	3
КАЧУР Р.П.	#regular	uk	35
КАЧУРА О.А.	#regular	uk	462
КАЧУРА О.А.	#regular	un	2
КВІТ С.М.	#regular	uk	153
КВІТАШВІЛІ О.	#regular	ru	31
КВІТАШВІЛІ О.	#regular	uk	4
КВІТАШВІЛІ О.М.	#regular	ru	34
КВІТАШВІЛІ О.М.	#regular	uk	4
КВІТАШВІЛІ О.Я.	#regular	ru	3
КВАШУК В.П.	#regular	uk	4
КВАШУК В.С.	#regular	uk	3
КИВА І.В.	#regular	ru	2
КИВА І.В.	#regular	uk	31
КИЗИМ М.О.	#regular	uk	10
КИРИЛЕНКО І.Г.	#regular	ru	2
КИРИЛЕНКО І.Г.	#regular	uk	854
КИРИЛЕНКО В.А.	#regular	uk	686
КИРИЛЕНКО П.В.	#regular	uk	33
КИРИЛЕНТКО В.А.	#regular	uk	1
КИРИЧЕНКО М.О.	#regular	uk	1
КИРИЧЕНКО О.М.	#regular	ru	5
КИРИЧЕНКО О.М.	#regular	uk	25
КИСИЛЕВСЬКИЙ Д.Д.	#regular	uk	171
КИСЛИЦЯ С.О.	#regular	uk	46
КИЦАК Б.В.	#regular	uk	61
КИЦЮК В.П.	#regular	uk	4
КИЧУН В.І.	#regular	uk	16
КИШКАР П.М.	#regular	ru	3
КИШКАР П.М.	#regular	sr	1
КИШКАР П.М.	#regular	uk	840
КЛІМКІН А.П.	#regular	uk	5
КЛІМКІН П.А.	#regular	uk	225
КЛІМОВ Л.М.	#regular	uk	2
КЛИМЕНКО І.В.	#regular	uk	28
КЛИМЕНКО О.В.	#regular	ru	2
КЛИМЕНКО О.В.	#regular	uk	15
КЛИМЕНКО Ю.Л.	#regular	ru	5
КЛИМЕНКО Ю.Л.	#regular	uk	653
КЛИМПУШ-ЦИНЦАДЗЕ І.О.	#regular	ru	6
КЛИМПУШ-ЦИНЦАДЗЕ І.О.	#regular	uk	825
КЛИМПУШ-ЦИНЦАДЗЕ І.О.	#regular	un	2
КЛИЧКО В.В.	#regular	ru	11
КЛИЧКО В.В.	#regular	uk	448
КЛИЧКО В.Я.	#regular	uk	2
КЛОЧКО А.А.	#regular	uk	141
КЛЮЄВ С.П.	#regular	ru	22
КЛЮЧКОВСЬКИЙ Ю.Б.	#regular	uk	2
КНІЗЕВИЧ Р.П.	#regular	uk	3
КНЯЖИЙЦЬКИЙ М.Л.	#regular	be	1
КНЯЖИЦЬКИЙ Л.М.	#regular	uk	2
КНЯЖИЦЬКИЙ М.Л.	#regular	be	3
КНЯЖИЦЬКИЙ М.Л.	#regular	bg	1
КНЯЖИЦЬКИЙ М.Л.	#regular	ru	32
КНЯЖИЦЬКИЙ М.Л.	#regular	sr	2
КНЯЖИЦЬКИЙ М.Л.	#regular	uk	4300
КНЯЖИЦЬКИЙ М.Л.	#regular	un	6
КНЯЗЄВ С.М.	#regular	uk	22
КНЯЗЕВИЧ Р.П.	#regular	bg	2
КНЯЗЕВИЧ Р.П.	#regular	ru	15
КНЯЗЕВИЧ Р.П.	#regular	uk	4068
КНЯЗКВИЧ Р.П.	#regular	uk	2
КОБОЛЄВ А.В.	#regular	uk	18
КОБЦЕВ М.В.	#regular	ru	14
КОБЦЕВ М.В.	#regular	uk	19
КОВАЛІВ Ю.І.	#regular	uk	31
КОВАЛІВ Я.Б.	#regular	uk	2
КОВАЛЬ Д.М.	#regular	uk	40
КОВАЛЬ М.В.	#regular	ru	3
КОВАЛЬ М.В.	#regular	uk	50
КОВАЛЬ О.В.	#regular	uk	39
КОВАЛЬОВ А.В.	#regular	uk	8
КОВАЛЬОВ О.І.	#regular	be	1
КОВАЛЬОВ О.І.	#regular	ru	1
КОВАЛЬОВ О.І.	#regular	uk	109
КОВАЛЬОВА О.В.	#regular	uk	10
КОВАЛЬЧУК В.А.	#regular	ru	6
КОВАЛЬЧУК В.А.	#regular	uk	93
КОВАЛЬЧУК В.А.	#regular	un	3
КОВАЛЬЧУК О.В.	#regular	ru	2
КОВАЛЬЧУК О.В.	#regular	uk	208
КОВАЛЬЧУК Т.І.	#regular	uk	3
КОВАЧ В.І.	#regular	ru	1
КОВАЧ В.І.	#regular	uk	3
КОВТОНЮК П.А.	#regular	uk	46
КОВТУНЕЦЬ В.В.	#regular	uk	42
КОДОЛА О.М.	#regular	be	1
КОДОЛА О.М.	#regular	uk	288
КОЖАРА Л.О.	#regular	uk	26
КОЖАРА Я.Л.	#regular	uk	1
КОЖЕМЯКІН А.А.	#regular	uk	2
КОЖЕМЯКІНН А.А.	#regular	uk	1
КОЖЕМ’ЯКІН А.А.	#regular	be	1
КОЖЕМ’ЯКІН А.А.	#regular	ru	10
КОЖЕМ’ЯКІН А.А.	#regular	sr	1
КОЖЕМ’ЯКІН А.А.	#regular	uk	1699
КОЗАК В.В.	#regular	uk	33
КОЗАК Т.Р.	#regular	ru	1
КОЗАК Т.Р.	#regular	uk	1
КОЗАЧЕНКО Л.П.	#regular	uk	5
КОЗИР Б.Ю.	#regular	uk	52
КОЗИР С.В.	#regular	uk	5
КОЗИРЄВ П.Г.	#regular	uk	7
КОЗЛОВСЬКА Н.В.	#regular	uk	3
КОЗУБ О.А.	#regular	uk	21
КОЛЄВ О.В.	#regular	uk	1
КОЛЄСНІКОВ Д.В.	#regular	ru	18
КОЛЄСНІКОВ Д.В.	#regular	uk	57
КОЛІСНИК А.А.	#regular	uk	8
КОЛІСНИК А.С.	#regular	uk	22
КОЛІСНИК В.П.	#regular	uk	1
КОЛГАНОВА О.В.	#regular	be	1
КОЛГАНОВА О.В.	#regular	ru	1
КОЛГАНОВА О.В.	#regular	uk	9
КОЛЕБОШИН С.В.	#regular	uk	38
КОЛЕСНІКОВ Б.В.	#regular	ru	14
КОЛЕСНІЧЕНКО В.В.	#regular	mk	1
КОЛЕСНІЧЕНКО В.В.	#regular	ru	98
КОЛЕСНІЧЕНКО В.В.	#regular	uk	20
КОЛЕСНИЧЕНКО В.М.	#regular	uk	62
КОЛИХАЄВ І.В.	#regular	uk	1
КОЛОБОВ Ю.В.	#regular	uk	37
КОЛОМІЄЦЬ В.М.	#regular	uk	34
КОЛОМІЄЦЬ В.Р.	#regular	ru	1
КОЛОМІЄЦЬ В.Р.	#regular	uk	85
КОЛТУНОВИЧ О.С.	#regular	be	3
КОЛТУНОВИЧ О.С.	#regular	ru	10
КОЛТУНОВИЧ О.С.	#regular	sr	1
КОЛТУНОВИЧ О.С.	#regular	uk	3149
КОЛТУНОВИЧ О.С.	#regular	un	5
КОЛЮХ В.В.	#regular	uk	27
КОМАРІДА О.О.	#regular	uk	12
КОМОРОВСЬКИЙ Б.	#regular	uk	33
КОНДРАТЮК О.К.	#chair	be	28
КОНДРАТЮК О.К.	#chair	ru	15
КОНДРАТЮК О.К.	#chair	sr	1
КОНДРАТЮК О.К.	#chair	uk	6348
КОНДРАТЮК О.К.	#regular	be	1
КОНДРАТЮК О.К.	#regular	uk	426
КОНОНЕНКО І.В.	#regular	uk	11
КОНОПОЛЬСЬКИЙ О.М.	#regular	uk	1
КОНСТАНКЕВИЧ І.М.	#regular	ru	1
КОНСТАНКЕВИЧ І.М.	#regular	uk	509
КОНСТАНТІНОВСЬКИЙ В.Л.	#regular	ru	5
КОПАНЧУК О.Є.	#regular	uk	29
КОПИЛЕНКО О.Л.	#regular	ru	2
КОПИЛЕНКО О.Л.	#regular	uk	3
КОПИТІН І.В.	#regular	ru	1
КОПИТІН І.В.	#regular	uk	40
КОРЖ П.П.	#regular	uk	11
КОРЖ Р.А.	#regular	uk	10
КОРЗУН А.В.	#regular	uk	57
КОРИНЕВИЧ А.О.	#regular	uk	6
КОРНІЄНКО В.В.	#regular	uk	4
КОРНІЄНКО О.С.	#chair	be	26
КОРНІЄНКО О.С.	#chair	mk	1
КОРНІЄНКО О.С.	#chair	ru	12
КОРНІЄНКО О.С.	#chair	sr	1
КОРНІЄНКО О.С.	#chair	uk	1704
КОРНІЄНКО О.С.	#chair	un	2
КОРНІЄНКО О.С.	#regular	mk	1
КОРНІЄНКО О.С.	#regular	ru	10
КОРНІЄНКО О.С.	#regular	sr	3
КОРНІЄНКО О.С.	#regular	uk	551
КОРНІЄНКО О.С.	#regular	un	1
КОРНАЦЬКИЙ А.О.	#regular	uk	6
КОРНЕЙКО О.В.	#regular	uk	13
КОРОЛЕВСЬКА Н.Ю.	#regular	mk	1
КОРОЛЕВСЬКА Н.Ю.	#regular	ru	366
КОРОЛЕВСЬКА Н.Ю.	#regular	uk	1651
КОРОЛЕВСЬКА Н.Ю.	#regular	un	2
КОРОЛЕНКО В.Ю.	#regular	uk	2
КОРОЛЬ В.М.	#regular	ru	1
КОРОЛЬ В.М.	#regular	uk	63
КОРОЛЮК В.А.	#regular	uk	2
КОРЧАК Н.М.	#regular	uk	48
КОРЧИК В.А.	#regular	uk	138
КОРЧИНСЬКА О.А.	#regular	ru	1
КОРЧИНСЬКА О.А.	#regular	uk	413
КОРЯВЧЕНКОВ Ю.В.	#regular	uk	1
КОСТІН А.Є.	#regular	uk	247
КОСТЕНКО П.П.	#regular	ru	1
КОСТЕНКО П.П.	#regular	uk	28
КОСТЕНКО Р.В.	#regular	ru	2
КОСТЕНКО Р.В.	#regular	sr	1
КОСТЕНКО Р.В.	#regular	uk	280
КОСТРІЙЧУК С.В.	#regular	uk	3
КОСТЮК Д.С.	#regular	uk	118
КОСТЮХ А.В.	#regular	uk	18
КОСЮГА В.І.	#regular	ru	5
КОСЮГА В.І.	#regular	uk	1
КОТВІЦЬКИЙ І.О.	#regular	ru	1
КОТВІЦЬКИЙ І.О.	#regular	uk	1
КОТЕЛЯК Л.Л.	#regular	uk	54
КОТИК Є.Д.	#regular	uk	4
КОШЕЛЄВА А.В.	#regular	uk	124
КОШУЛИНСЬКИЙ Р.В.	#chair	be	14
КОШУЛИНСЬКИЙ Р.В.	#chair	bg	1
КОШУЛИНСЬКИЙ Р.В.	#chair	mk	4
КОШУЛИНСЬКИЙ Р.В.	#chair	ru	89
КОШУЛИНСЬКИЙ Р.В.	#chair	sr	1
КОШУЛИНСЬКИЙ Р.В.	#chair	uk	4208
КОШУЛИНСЬКИЙ Р.В.	#regular	ru	2
КОШУЛИНСЬКИЙ Р.В.	#regular	uk	229
КРАВЦОВ Є.П.	#regular	uk	3
КРАВЧУК Є.М.	#regular	uk	139
КРАВЧУК В.П.	#regular	ru	1
КРАВЧУК В.П.	#regular	uk	7
КРАВЧУК Л.М.	#regular	uk	46
КРАПІВНИЦЬКА Н.Л.	#regular	uk	1
КРАСНОЛУЦЬКИЙ О.В.	#regular	uk	7
КРАСНОПОЛЬСЬКИЙ Я.В.	#regular	uk	22
КРАСНОСІЛЬСЬКА А.О.	#regular	uk	80
КРАСОВ О.І.	#regular	uk	15
КРЕЙДЕНКО В.В.	#regular	uk	4
КРЕМІНЬ Т.Д.	#regular	uk	347
КРЕНТОВСЬКА О.П.	#regular	uk	17
КРИВЕНКО В.В.	#regular	uk	15
КРИВЕНКО В.М.	#regular	bg	1
КРИВЕНКО В.М.	#regular	ru	6
КРИВЕНКО В.М.	#regular	uk	1080
КРИВЕЦЬКИЙ І.І.	#regular	uk	2
