cnt	orgID	isFraction	term	postID	orgName	postName
1	3021	unknown	9	8	Комітету Верховної Ради України з питань соціальної політики та захисту прав ветеранів	Член Комітету Верховної Ради України
1	3021	unknown	9	916	Комітету Верховної Ради України з питань соціальної політики та захисту прав ветеранів	Перший заступник голови Комітету Верховної Ради України
1	3022	unknown	9	4	Комітету Верховної Ради України з питань транспорту та інфраструктури	Голова Комітету Верховної Ради України
2	3022	unknown	9	5	Комітету Верховної Ради України з питань транспорту та інфраструктури	Заступник голови Комітету Верховної Ради України
1	3022	unknown	9	7	Комітету Верховної Ради України з питань транспорту та інфраструктури	Секретар Комітету Верховної Ради України
9	3022	unknown	9	8	Комітету Верховної Ради України з питань транспорту та інфраструктури	Член Комітету Верховної Ради України
1	3022	unknown	9	916	Комітету Верховної Ради України з питань транспорту та інфраструктури	Перший заступник голови Комітету Верховної Ради України
1	3023	unknown	9	4	Комітету Верховної Ради України з питань фінансів, податкової та митної політики	Голова Комітету Верховної Ради України
4	3023	unknown	9	5	Комітету Верховної Ради України з питань фінансів, податкової та митної політики	Заступник голови Комітету Верховної Ради України
1	3023	unknown	9	7	Комітету Верховної Ради України з питань фінансів, податкової та митної політики	Секретар Комітету Верховної Ради України
12	3023	unknown	9	8	Комітету Верховної Ради України з питань фінансів, податкової та митної політики	Член Комітету Верховної Ради України
1	3023	unknown	9	916	Комітету Верховної Ради України з питань фінансів, податкової та митної політики	Перший заступник голови Комітету Верховної Ради України
1	3024	unknown	9	4	Комітету Верховної Ради України з питань цифрової трансформації	Голова Комітету Верховної Ради України
1	3024	unknown	9	7	Комітету Верховної Ради України з питань цифрової трансформації	Секретар Комітету Верховної Ради України
2	3024	unknown	9	8	Комітету Верховної Ради України з питань цифрової трансформації	Член Комітету Верховної Ради України
1	3024	unknown	9	916	Комітету Верховної Ради України з питань цифрової трансформації	Перший заступник голови Комітету Верховної Ради України
1	3025	fraction	9	1009	фракції ПОЛІТИЧНОЇ ПАРТІЇ "СЛУГА НАРОДУ"	Перший заступник голови фракції
1	3025	fraction	9	1028	фракції ПОЛІТИЧНОЇ ПАРТІЇ "СЛУГА НАРОДУ"	Голова депутатської фракції
14	3025	fraction	9	1029	фракції ПОЛІТИЧНОЇ ПАРТІЇ "СЛУГА НАРОДУ"	Заступник голови депутатської фракції
225	3025	fraction	9	918	фракції ПОЛІТИЧНОЇ ПАРТІЇ "СЛУГА НАРОДУ"	Член депутатської фракції
2	3026	fraction	9	1050	фракції Політичної партії "ОПОЗИЦІЙНА ПЛАТФОРМА - ЗА ЖИТТЯ" у Верховній Раді України	Співголова депутатської фракції
42	3026	fraction	9	918	фракції Політичної партії "ОПОЗИЦІЙНА ПЛАТФОРМА - ЗА ЖИТТЯ" у Верховній Раді України	Член депутатської фракції
1	3027	fraction	9	1028	фракції політичної партії Всеукраїнське об’єднання "Батьківщина" у Верховній Раді України дев’ятого скликання	Голова депутатської фракції
1	3027	fraction	9	1029	фракції політичної партії Всеукраїнське об’єднання "Батьківщина" у Верховній Раді України дев’ятого скликання	Заступник голови депутатської фракції
23	3027	fraction	9	918	фракції політичної партії Всеукраїнське об’єднання "Батьківщина" у Верховній Раді України дев’ятого скликання	Член депутатської фракції
2	3028	fraction	9	1050	фракції ПОЛІТИЧНОЇ ПАРТІЇ "ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"	Співголова депутатської фракції
25	3028	fraction	9	918	фракції ПОЛІТИЧНОЇ ПАРТІЇ "ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"	Член депутатської фракції
1	3029	fraction	9	1028	фракції Політичної Партії "ГОЛОС" у Верховній Раді України дев’ятого скликання	Голова депутатської фракції
