utterance	note	who	sentence
ParlaMint-UA_2014-02-05-m0.u62	КОЛЕСНІЧЕНКО В.В.	#ВадимВасильовичКолесніченко.1958	Виступає [Вадим](ParlaMint-UA_2014-02-05-m0.u61.p3.s3.w2) [Колесніченко](ParlaMint-UA_2014-02-05-m0.u61.p3.s3.w3). 
ParlaMint-UA_2014-02-05-m0.u64	СИМОНЕНКО П.М.	#ПетроМиколайовичСимоненко.1952	Фракція Компартії України, народний депутат [Симоненко](ParlaMint-UA_2014-02-05-m0.u63.p1.s1.w7). 
ParlaMint-UA_2014-02-05-m0.u66	ШЕВЧЕНКО А.В.	#АндрійВіталійовичШевченко.1976	Фракція "Батьківщина", народний депутат [Андрій](ParlaMint-UA_2014-02-05-m0.u65.p2.s1.w8) [Шевченко](ParlaMint-UA_2014-02-05-m0.u65.p2.s1.w9), прошу. 
ParlaMint-UA_2014-02-05-m0.u68	ЯЦЕНЮК А.П.	#АрсенійПетровичЯценюк.1974	Прошу [Арсеній](ParlaMint-UA_2014-02-05-m0.u67.p1.s1.w2) [Яценюк](ParlaMint-UA_2014-02-05-m0.u67.p1.s1.w3). 
ParlaMint-UA_2014-02-06-m0.u3	ПИСАРЕНКО В.В.	#ВалерійВолодимировичПисаренко.1980	Фракція Партії регіонів, народний депутат [Валерій](ParlaMint-UA_2014-02-06-m0.u2.p8.s1.w7) [Писаренко](ParlaMint-UA_2014-02-06-m0.u2.p8.s1.w8). 
ParlaMint-UA_2014-02-06-m0.u3	ПИСАРЕНКО В.В.	#ВалерійВолодимировичПисаренко.1980	Фракція Партії регіонів, народний депутат [Валерій](ParlaMint-UA_2014-02-06-m0.u2.p8.s1.w7) [Писаренко](ParlaMint-UA_2014-02-06-m0.u2.p8.s1.w8). 
ParlaMint-UA_2014-02-06-m0.u5	ТЯГНИБОК О.Я.	#ОлегЯрославовичТягнибок.1968	[Олег](ParlaMint-UA_2014-02-06-m0.u4.p1.s2.w1) [Тягнибок](ParlaMint-UA_2014-02-06-m0.u4.p1.s2.w2), керівник фракції, прошу. 
ParlaMint-UA_2014-02-06-m0.u7	МАРТИНЮК А.І.	#АдамІвановичМартинюк.1950	Фракція Компартії України, народний депутат [Адам](ParlaMint-UA_2014-02-06-m0.u6.p1.s1.w7) [Мартинюк](ParlaMint-UA_2014-02-06-m0.u6.p1.s1.w8). 
ParlaMint-UA_2014-02-06-m0.u9	ГЕРАЩЕНКО І.В.	#ІринаВолодимирівнаГеращенко.1971	Фракція "УДАР Віталія Кличка", [Ірина](ParlaMint-UA_2014-02-06-m0.u8.p2.s1.w8) [Геращенко](ParlaMint-UA_2014-02-06-m0.u8.p2.s1.w9). 
ParlaMint-UA_2014-02-06-m0.u11	ЯЦЕНЮК А.П.	#АрсенійПетровичЯценюк.1974	[Арсеній](ParlaMint-UA_2014-02-06-m0.u10.p2.s2.w1) [Яценюк](ParlaMint-UA_2014-02-06-m0.u10.p2.s2.w2), прошу. 
